Name,ObstacleDensity,FoundSolution,TotalNodes,NodesVisited,PercentVisited,SolutionDistance,SolutionTime,MapWidthResolution,MapGenTime
Gradient Descent,Sparse,true,100,9,0.090000,104.852814,0.000000,10,0.001000
Gradient Descent,Sparse,true,121,10,0.082645,108.177223,0.000000,11,0.000000
Gradient Descent,Sparse,true,289,15,0.051903,106.718430,0.000000,17,0.001000
Gradient Descent,Sparse,true,625,21,0.033600,106.509651,0.001000,25,0.000000
Gradient Descent,Sparse,false,1444,9,0.006233,28.682880,0.000000,38,0.001000
Gradient Descent,Sparse,true,3249,46,0.014158,105.834946,0.000000,57,0.004000
Gradient Descent,Sparse,false,7396,17,0.002299,25.829302,0.000000,86,0.008000
Gradient Descent,Sparse,false,16641,23,0.001382,24.118378,0.000000,129,0.021000
Gradient Descent,Sparse,false,37636,34,0.000903,23.842693,0.000000,194,0.045000
Gradient Descent,Sparse,false,84681,50,0.000590,23.813227,0.000000,291,0.110000
Gradient Descent,Sparse,false,190969,75,0.000393,23.758200,0.000000,437,0.224000
Gradient Descent,Sparse,false,430336,110,0.000256,23.435230,0.001000,656,0.512000
Gradient Descent,Dense,true,100,9,0.090000,104.852814,0.000000,10,0.000000
Gradient Descent,Dense,true,121,10,0.082645,108.177223,0.000000,11,0.000000
Gradient Descent,Dense,true,289,15,0.051903,111.591530,0.000000,17,0.000000
Gradient Descent,Dense,true,625,21,0.033600,106.509651,0.000000,25,0.002000
Gradient Descent,Dense,true,1444,31,0.021468,105.108185,0.000000,38,0.003000
Gradient Descent,Dense,true,3249,46,0.014158,105.834946,0.000000,57,0.007000
Gradient Descent,Dense,true,7396,69,0.009329,106.041771,0.000000,86,0.015000
Gradient Descent,Dense,false,16641,10,0.000601,9.866607,0.000000,129,0.034000
Gradient Descent,Dense,false,37636,14,0.000372,9.476689,0.000000,194,0.077000
Gradient Descent,Dense,false,84681,22,0.000260,9.920979,0.000000,291,0.172000
Gradient Descent,Dense,false,190969,30,0.000157,9.384945,0.000000,437,0.384000
Gradient Descent,Dense,false,430336,44,0.000102,9.269998,0.000000,656,0.869000
Gradient Descent,Wall,false,100,6,0.060000,70.710678,0.000000,10,0.000000
Gradient Descent,Wall,false,121,7,0.057851,73.373337,0.000000,11,0.001000
